,statement,support_level
121,Coupon code discount not applied.,1
122,How can I leave a product review?,0
123,Can I order a product that is labeled as 'limited edition'?,0
124,Changed password but still cannot log in.,1
125,Faulty or unreadable website layout.,1
126,Do you offer international shipping?,0
127,Issues with canceling order.,1
128,Can I request a product that is currently out of stock to be restocked?,0
129,Can I return a product if I no longer have the original receipt?,0
130,"Delivery arrived damaged, product unusable.",1
131,Can I return a product if it was damaged due to mishandling during shipping?,0
132,Cannot log in due to account not activated.,1
133,PayPal payment not deducted.,1
134,Can I request a product that is listed as 'limited edition' to be restocked?,0
135,Can I add a gift message to my order?,0
136,Do you offer installation services for your products?,0
137,Can I order a product if it is listed as 'out of stock' but available for pre-order?,0
138,Can I change or cancel an item in my order?,0
139,How long does shipping take?,0
140,Can I request a product if it is not currently available in my size?,0
141,Can I return a product if it was purchased during a promotional event?,0
142,Cannot log in due to alleged terms of use violation.,1
143,How can I track my order?,0
144,Can I request an invoice for my order?,0
145,Cannot log in with social media account.,1
146,Can I order a product that is out of stock?,0
147,Can I order a product for delivery to a different country?,0
148,How can I become a retailer at this company?, 0
149,Which products can i offer?, 0
150,Which products am I not permitted to offer?, 0
