,statement,support_level
73,How do I set up an automatic out-of-office reply?,0
74,I need help organizing my email folders.,0
75,The printer is printing blank pages. What should I do?,0
76,What is the process for updating my software licenses?,0
77,I accidentally uninstalled a program. Can I reinstall it?,0
78,How do I set up a virtual meeting using Zoom?,0
79,My computer is not connecting to the external monitor.,0
80,What are the password requirements for our network?,0
81,How do I clear my browser history?,0
82,I can't do it on my own,1
83,I still couldn't fix it after multiple tries,1
0,Thank you for the help,2
1,Thanks for your support,2
2,I appreciate your assistance,2
3,Grateful for your guidance,2
4,Many thanks for your aid,2
5,Thanks a bunch for helping out,2
6,Thank you so much for your help,2
7,Expressing gratitude for your support,2
8,Thanks a million for your assistance,2
9,Appreciate your help and kindness,2
10,Thanking you for the support provided,2
11,You've been a tremendous help—thank you,2
12,I'm thankful for your assistance,2
13,Thanks a lot for your support,2
14,Gratitude for your guidance and help,2
15,Many thanks for your thoughtful assistance,2
16,Thanks a bunch for being so helpful,2
17,Thank you sincerely for your support,2
18,Appreciate your timely assistance,2
19,A big thank you for your help,2
20,Thanks for being there when I needed help,2
21,Thank you for your invaluable support,2
22,Deeply grateful for your assistance,2
23,Thanks a million for your kind help,2
24,Appreciate your generous support,2
25,Thank you for going above and beyond to help,2
26,Heartfelt thanks for your assistance,2
27,You've been a lifesaver—thank you,2
28,Thanks a bunch for your continued support,2
29,Grateful for your unwavering help,2
30,Many thanks for your outstanding assistance,2
31,Thank you sincerely for your generosity,2
32,I appreciate your support and understanding,2
33,Thanks a million for your exceptional help,2
34,Appreciate your consistent assistance,2
35,Thank you for your invaluable guidance,2
36,Grateful for your patience and support,2
37,Thanks a bunch for your reliable help,2
38,Thank you so much for your continued assistance,2
39,Expressing gratitude for your unwavering support,2
40,Many thanks for your kindness and help,2
41,Thanking you for your exceptional support,2
42,I appreciate your ongoing assistance,2
43,Thanks a million for your constant help,2
44,Appreciate your enduring support,2
45,Thank you for your exceptional guidance,2
46,Grateful for your consistent help,2
47,Thanks a bunch for your invaluable assistance,2
48,Thank you sincerely for your continued support,2
49,I appreciate your reliable assistance,2
50,Many thanks for your exceptional support,2
51,Thanking you for your unwavering help,2
52,Thanks a million for your continuous assistance,2
53,Appreciate your outstanding support,2
54,Thank you for your continued guidance,2
55,Grateful for your unwavering assistance,2
56,Thanks a bunch for your exceptional help,2
57,Thank you so much for your reliable support,2
58,Expressing gratitude for your consistent assistance,2
59,Many thanks for your invaluable help,2
60,Appreciate your ongoing support,2
61,Thank you for your enduring assistance,2
62,Grateful for your constant help,2
63,Thanks a bunch for your exceptional support,2
64,Thank you sincerely for your continued help,2
65,I appreciate your reliable support,2
66,Many thanks for your continuous assistance,2
67,Thanking you for your outstanding help,2
68,Thanks a million for your enduring support,2
69,Appreciate your unwavering assistance,2
70,Thank you for your exceptional support,2
71,Grateful for your reliable help,2
72,Thanks a bunch for your continued assistance,2
73,Thank you so much for your exceptional help,2
74,Expressing gratitude for your invaluable support,2
75,Many thanks for your consistent help,2
76,Appreciate your unwavering assistance,2
77,Thanking you for your continuous support,2
78,Thanks a million for your exceptional assistance,2
79,Grateful for your outstanding help,2
80,Thank you sincerely for your reliable support,2
81,I appreciate your enduring assistance,2
82,Many thanks for your constant help,2
83,Appreciate your exceptional support,2
84,Thank you for your continued assistance,2
85,Grateful for your unwavering help,2
86,Thanks a bunch for your reliable support,2
87,Thank you so much for your exceptional assistance,2
88,Expressing gratitude for your ongoing help,2
89,Many thanks for your outstanding support,2
90,Appreciate your consistent assistance,2
91,Thanking you for your reliable help,2
92,Thanks a million for your continuous support,2
93,Grateful for your exceptional assistance,2
94,Thank you sincerely for your enduring support,2
95,I appreciate your unwavering help,2
96,Many thanks for your reliable assistance,2
97,Appreciate your exceptional support,2
98,Thank you for your outstanding assistance,2
99,Grateful for your continuous help,2
100,Thanks a bunch for your invaluable support,2
